"Source: Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated January 23, 2021",,,,,,,
,,,,,,,
,,,,,,,
year,sector,sub_sector,food_type,cause_group,cause_name,tons_surplus_due_to_cause,us_dollars_surplus_due_to_cause
2019,Foodservice,Colleges & Universities,Frozen,Mistakes & Malfunctions,Cooking Issues,69.7167968,321673.3942
2019,Foodservice,Colleges & Universities,Frozen,Mistakes & Malfunctions,Equipment Issues,373.1071294,1721516.797
2019,Foodservice,Colleges & Universities,Frozen,Mistakes & Malfunctions,Handling Errors,96.86805396,446949.3312
2019,Foodservice,Colleges & Universities,Frozen,Other,Other,7.707407299,35561.98765
2019,Foodservice,Colleges & Universities,Frozen,Trimmings & Byproducts,Trimmings & Byproducts,2.802685098,12931.59281
2019,Foodservice,Colleges & Universities,Prepared Foods,Excess,Catering Overproduction,53829.50611,521733124.8
2019,Foodservice,Colleges & Universities,Prepared Foods,Excess,Overproduction,29748.44557,288331634.2
2019,Foodservice,Colleges & Universities,Prepared Foods,Excess,Plate Waste,153427.6454,1487070765
2019,Foodservice,Colleges & Universities,Produce,Date Label Concerns,Date Label Concerns,628.9216296,2901845.245
2019,Foodservice,Colleges & Universities,Produce,Mistakes & Malfunctions,Cooking Issues,169.5539341,782322.0798
2019,Foodservice,Colleges & Universities,Produce,Mistakes & Malfunctions,Equipment Issues,13.50592017,62316.33382
2019,Foodservice,Colleges & Universities,Produce,Mistakes & Malfunctions,Handling Errors,76.94156697,355008.4935
2019,Foodservice,Colleges & Universities,Produce,Other,Other,11.84414102,54648.88261
2019,Foodservice,Colleges & Universities,Produce,Spoiled,Spoiled,480.9398115,2219056.937
2019,Foodservice,Colleges & Universities,Produce,Trimmings & Byproducts,Trimmings & Byproducts,6760.036206,31190816.15
2019,Foodservice,Colleges & Universities,Ready-to-drink Beverages,Date Label Concerns,Date Label Concerns,1463.942282,6754631.657
2019,Foodservice,Colleges & Universities,Ready-to-drink Beverages,Mistakes & Malfunctions,Cooking Issues,84.7869277,391206.9985
2019,Foodservice,Colleges & Universities,Ready-to-drink Beverages,Mistakes & Malfunctions,Equipment Issues,324.0813041,1495311.573
2019,Foodservice,Colleges & Universities,Ready-to-drink Beverages,Mistakes & Malfunctions,Handling Errors,209.874519,968361.3131
2019,Foodservice,Colleges & Universities,Ready-to-drink Beverages,Other,Other,35.75748827,164985.099
2019,Foodservice,Colleges & Universities,Ready-to-drink Beverages,Spoiled,Spoiled,164.757563,760191.6175
2019,Foodservice,Colleges & Universities,Ready-to-drink Beverages,Trimmings & Byproducts,Trimmings & Byproducts,3036.9109,14012310.98
2019,Foodservice,Corrections,Breads & Bakery,Date Label Concerns,Date Label Concerns,392.716457,1811994.261
2019,Foodservice,Corrections,Breads & Bakery,Mistakes & Malfunctions,Cooking Issues,91.72253281,423207.8898
2019,Foodservice,Corrections,Breads & Bakery,Mistakes & Malfunctions,Equipment Issues,5.489574435,25328.90383
2019,Foodservice,Corrections,Breads & Bakery,Mistakes & Malfunctions,Handling Errors,41.21951371,190186.8917
2019,Foodservice,Corrections,Breads & Bakery,Other,Other,3.162476317,14591.66998
2019,Foodservice,Corrections,Breads & Bakery,Spoiled,Spoiled,190.4948151,878943.3331
2019,Foodservice,Corrections,Breads & Bakery,Trimmings & Byproducts,Trimmings & Byproducts,241.1781871,1112796.48
2019,Foodservice,Corrections,Dairy & Eggs,Date Label Concerns,Date Label Concerns,664.7729641,3067263.351
2019,Foodservice,Corrections,Dairy & Eggs,Mistakes & Malfunctions,Cooking Issues,75.61942587,348908.1327
2019,Foodservice,Corrections,Dairy & Eggs,Mistakes & Malfunctions,Equipment Issues,78.4533976,361984.082
2019,Foodservice,Corrections,Dairy & Eggs,Mistakes & Malfunctions,Handling Errors,45.16462884,208389.6582
2019,Foodservice,Corrections,Dairy & Eggs,Other,Other,2.707741353,12493.52225
2019,Foodservice,Corrections,Dairy & Eggs,Spoiled,Spoiled,347.4743949,1603247.325
2019,Foodservice,Corrections,Dairy & Eggs,Trimmings & Byproducts,Trimmings & Byproducts,229.0998096,1057066.83
2019,Foodservice,Corrections,Dry Goods,Date Label Concerns,Date Label Concerns,1668.373305,7697876.673
2019,Foodservice,Corrections,Dry Goods,Mistakes & Malfunctions,Cooking Issues,478.6171636,2208340.236
2019,Foodservice,Corrections,Dry Goods,Mistakes & Malfunctions,Equipment Issues,44.51681188,205400.6299
2019,Foodservice,Corrections,Dry Goods,Mistakes & Malfunctions,Handling Errors,160.236198,739330.033
2019,Foodservice,Corrections,Dry Goods,Other,Other,15.41604531,71129.65381
2019,Foodservice,Corrections,Dry Goods,Spoiled,Spoiled,360.713087,1664330.669
2019,Foodservice,Corrections,Dry Goods,Trimmings & Byproducts,Trimmings & Byproducts,445.93984,2057567.022
2019,Foodservice,Corrections,Fresh Meat & Seafood,Date Label Concerns,Date Label Concerns,665.8761653,3072353.522
2019,Foodservice,Corrections,Fresh Meat & Seafood,Mistakes & Malfunctions,Cooking Issues,125.0533951,576996.5333
2019,Foodservice,Corrections,Fresh Meat & Seafood,Mistakes & Malfunctions,Equipment Issues,33.72957997,155628.3273
2019,Foodservice,Corrections,Fresh Meat & Seafood,Mistakes & Malfunctions,Handling Errors,77.98810059,359837.201
2019,Foodservice,Corrections,Fresh Meat & Seafood,Other,Other,6.721403703,31012.56572
2019,Foodservice,Corrections,Fresh Meat & Seafood,Spoiled,Spoiled,334.8371491,1544939.056
2019,Foodservice,Corrections,Fresh Meat & Seafood,Trimmings & Byproducts,Trimmings & Byproducts,1223.879804,5646983.06
2019,Foodservice,Corrections,Frozen,Date Label Concerns,Date Label Concerns,10.19106923,47021.60712
